retailer,type,company_id,location,country,sq_ft,yr_open,lat,lon
target,general merchandise,T-580,"6175 Greenbrier Rd, Madison, Alabama, 35756",United States of America,1357500,2000,34.6449995,-86.84391439
target,general merchandise,T-588,"25 N 75th Ave, Phoenix, Arizona, 85043",United States of America,1530700,2002,33.44837487,-112.2210892
target,general merchandise,T-0553,"14750 Miller Avenue, Fontana, California, 92336",United States of America,1423000,1987,34.112064,-117.480529
target,general merchandise,T-0555,"2050 East Beamer Street, Woodland, California, 957776",United States of America,1862000,1988,NA,NA
target,general merchandise,T-0593,"3880 Zachary Ave, Shafter, California, 93263",United States of America,2100000,2003,35.44491959,-119.1851349
target,general merchandise,T-3806,"3105 N Mango Ave, Rialto, California, 92377",United States of America,1850000,2006,34.15308103,-117.4315853
target,general merchandise,T-0554,"34800 United Avenue, Pueblo, Colorado, 81001",United States of America,1500000,1986,38.2795372,-104.4673309
target,general merchandise,T-0556,"110 West Jordan Road, Tifton, Georgia, 31794",United States of America,1560000,1989,31.43824959,-83.44924927
target,general merchandise,T-3808,"1247 Sunbury Rd, Midway, Georgia, 31320",United States of America,1500000,2007,31.77520561,-81.35263824
target,general merchandise,T-3809,"1115 Macom Dr, DeKalb, Illinois, 60115",United States of America,1500000,2006,41.91262521,-88.74066465
target,general merchandise,T-0559,"7551 W Morris, Indianapolis, Indiana, 46231",United States of America,1470000,1998,39.74670792,-86.29574585
target,general merchandise,T-0590,"2200 Viking Rd, Cedar Falls, Iowa, 50613",United States of America,1350000,2003,42.48106766,-92.47042084
target,general merchandise,T-3803,"1100 SW 57th St, Topeka, Kansas, 66609",United States of America,1350000,2004,38.96431491,-95.69550924
target,general merchandise,T-0587,"12735 E L Ave, Galesburg, Michigan, 49053",United States of America,1357400,2002,42.27784729,-85.38256073
target,general merchandise,T-0551,"7120 Highway 65 N. E., Fridley, Minnesota, 55432",United States of America,1156000,1969,45.09867096,-93.24638367
target,general merchandise,T-0579,"129 North Road, Wilton, New York, 12831",United States of America,1500000,1998,43.179019,-73.718132
target,general merchandise,T-3802,"1800 State Highway 5S, Amsterdam, New York, 12010",United States of America,1476500,2005,42.93460786,-74.24039327
target,general merchandise,T-3811,"1800 Stover Ct, Newton, North Carolina, 28658",United States of America,1670000,2009,35.62177658,-81.30474854
target,general merchandise,T-3804,"1 Walker Way, West Jefferson, Ohio, 43162",United States of America,1500000,2004,39.94981766,-83.34776306
target,general merchandise,T-0558,"875 Beta Drive SW, Albany, Oregon, 97321",United States of America,1470000,1997,44.5801239,-123.1146774
target,general merchandise,T-0589,"3001 Archer Dr, Chambersburg, Pennsylvania, 17202",United States of America,1350000,2003,39.89291847,-77.67080516
target,general merchandise,T-0594,"22 Corporate Dr , Lugoff, South Carolina, 29078",United States of America,1802000,2003,34.179306,-80.679016
target,general merchandise,T-0578,"13786 Harvey Road, Tyler, Texas, 75706",United States of America,1752500,1997,32.46493556,-95.41824929
target,general merchandise,T-3801,"4333 Power Way, Midlothian, Texas, 76065",United States of America,1350000,2004,32.43489075,-97.05619812
target,general merchandise,T-0560,"345 Mount Vernon Road, Stuarts Draft, Virginia, 24477",United States of America,1650000,1997,38.02953339,-78.99951935
target,general merchandise,T-0557,"1100 Valley Road, Oconomowoc, Wisconsin, 53066",United States of America,1500000,1994,43.07913589,-88.4768219
target,general merchandise,T-7301,"260199 High Plains Blvd, Balzac, Alberta, T4A 0P9",Canada ,1300000,2013,NA,NA
target,general merchandise,T-7300,"8450 Boston Church Road, Milton, Ontario, L9T 8E4",Canada ,1320000,2013,43.5352652,-79.8903028
target,general merchandise,T-7302,"1501 Industrial Park Drive, Cornwall, Ontario, K6H 7M4",Canada ,1350000,2013,45.04797,-74.70932
target,inbound,T-3807,"3110 Alder Ave , Rialto, California, 92336",United States of America,1530000,2006,34.15272903,-117.4262238
target,inbound,T-3810,"211 Little Hearst Pkwy, Savannah, Georgia, 31407",United States of America,2029500,2006,32.17382813,-81.17550659
target,inbound,T-3800,"300 Manning Bridge Road, Suffolk, Virginia, 23434-8592",United States of America,1800000,2003,36.70747757,-76.66335297
target,inbound,T-0600,"3500 Marvin Road N.E., Lacey, Washington, 98516",United States of America,2000000,2003,47.0815239,-122.7728577
target,food,T-3899,"2245 W Renaissance Rd, Rialto, California, 92376",United States of America,500000,2014,34.11080933,-117.3803101
target,food,T-3892,"3049 North US 441, Lake City, Florida, 32055",United States of America,430000,2008,30.23220442,-82.63850771
target,food,T-3880,"42 Commerce Parkway, West Jefferson, Ohio, 43162",United States of America,438000,2014,39.95128669,-83.34030099
target,food,T-3895,"2115 Technology Parkway, Cedar Falls, Iowa, 50613",United States of America,430000,2009,42.47648621,-92.47128296
target,food,T-3897,"3952 Corbin Road, Denton, Texas, 76207",United States of America,360000,2013,33.18693392,-97.17337623
target,e-commerce,T-9478,"8940 E. Rita Park Drive, Tucson, Arizona, 85747-9108",United States of America,975000,2008,32.08920288,-110.7978516
target,e-commerce,T-9479,"1505 South Haven, Ontario, California, 91761",United States of America,725000,2009,34.04602051,-117.5717316
target,e-commerce,T-9407,"9501 Hudson Rd, Woodbury, Minnesota, 55125",United States of America,325000,1988,44.9454422,-92.91287231
target,e-commerce,TBD,"5461 Davidson Road, Memphis, Tennessee,38118",United States of America,900000,2015,NA,NA
target,e-commerce,TBD,"325 S. Salem Church Road, York, Pennsylvania, 17408",United States of America,785400,2015,39.93283081,-76.82025909
target,returns,TBD,"225 Transfer Drive, Indianapolis, Indiana, 46214",United States of America,190000,1992,39.768615,-86.295372
target,closed,T-3893,"455 S. 75th Avenue, Phoenix, Arizona, 85043",United States of America,138000,2005,33.44340134,-112.2195435
target,closed,T-0595,"1505 South Haven, Ontario, California, 91761",United States of America,1225000,2001,34.04602051,-117.5717316
target,closed,T-0552,"600 Carnahan Drive, Maumelle, Little Rock, Arkansas, 72113",United States of America,852000,1982,34.85473251,-92.3946991
target,closed,T-3894,"5500 South Freeway, Fort Worth, Texas, 76115",United States of America,769800,2008,32.668697,-97.324783
target,closed,T-7301,"260199 High Plains Blvd, Balzac, Alberta, T4A 0P9",Canada ,1300000,2013,NA,NA
target,closed,T-7300,"8450 Boston Church Road, Milton, Ontario, L9T 8E4",Canada ,1320000,2013,43.5352652,-79.8903028
target,closed,T-7302,"1501 Industrial Park Drive, Cornwall, Ontario, K6H 7M4",Canada ,1350000,2013,45.04797,-74.70932
walmart,general merchandise,6006,"2200 7th Avenue SW, Cullman, AL, 35055",United States of America,1200000,1983,34.14238572,-86.8459864
walmart,general merchandise,6094,"5801 Southwest Regional Airport Boulevard, Bentonville, AR, 72712-9431",United States of America,1200000,1998,36.32155991,-94.25616455
walmart,general merchandise,6018,"405 E Booth Rd, Searcy, AR, 72143-8854",United States of America,1100000,1990,35.22402272,-91.7293556
walmart,general merchandise,6031,"23701 West Southern Avenue, Buckeye, AZ, 85326-4928",United States of America,1550000,1993,33.3880043,-112.5579224
walmart,general merchandise,7033,"21101 Johnson Road, Apple Valley, CA, 92307",United States of America,1340000,2004,34.59734344,-117.1975861
walmart,general merchandise,6021,"1300 South F Street, Porterville, CA, 93257-5968",United States of America,1200000,1991,36.0459671,-119.0195618
walmart,general merchandise,6026,"10815 State Highway 99W, Red Bluff, CA, 96080",United States of America,1170000,1994,40.10584965,-122.1875402
walmart,general merchandise,6019,"7500 East Crossroads Blvd, Loveland, CO, 80538",United States of America,1078500,1990,40.42881012,-104.968483
walmart,general merchandise,7034,"4860 Wheatley’s Pond Rd, Smyrna, DE, 19977",United States of America,1200000,2004,NA,NA
walmart,general merchandise,7035,"18815 NW 115th Ave, Alachua, FL, 32615-6056",United States of America,1200000,2006,29.76182476,-82.54183017
walmart,general merchandise,6020,"5100 Kettering Road, Brooksville, FL, 34602-8311",United States of America,1600000,1992,28.49736977,-82.21511078
walmart,general merchandise,7038,"4001 S Jenkins Rd, Fort Pierce (St Lucie County), FL, 34981-4620",United States of America,1200000,2004,27.3935318,-80.38800049
walmart,general merchandise,6010,"1401 Baker Hwy W ((or 690 Highway 206), Douglas, GA, 31533",United States of America,994000,1986,31.502794,-82.86985
walmart,general merchandise,6054,"385 Callaway Church Rd, LaGrange, GA, 30241",United States of America,1130000,2000,33.03390503,-84.95891571
walmart,general merchandise,6009,"1501 E Mapleleaf Dr (or 1100 North Iris Street), Mt Pleasant, IA, 52641",United States of America,1244000,1985,40.977725,-91.528022
walmart,general merchandise,6092,"3100 Illinois Highway 89, Spring Valley, IL, 61362",United States of America,1200000,2001,41.31980896,-89.19985962
walmart,general merchandise,6017,"2100 East Tipton Street, Seymour, IN, 47274",United States of America,1100000,1990,38.95601654,-85.84926605
walmart,general merchandise,6035,"3300 Highway K 68 (or 3270 Nevada Terrace), Ottawa, KS, 66067",United States of America,1200000,1995,38.61915207,-95.27883911
walmart,general merchandise,6066,"690 Crenshaw Blvd, Hopkinsville, KY, 42240",United States of America,1200000,2003,36.7348175,-87.47741699
walmart,general merchandise,6048,"3160 Highway 743, Opelousas, LA, 70570",United States of America,1200000,1999,30.58095865,-92.03240834
walmart,general merchandise,6043,"510 Jonesville Rd, Coldwater, MI, 49036",United States of America,1100000,2001,41.98560007,-84.98004533
walmart,general merchandise,6069,"1100 Matlock Dr., St. James, MO, 65559",United States of America,1200000,2001,38.01033095,-91.62312604
walmart,general merchandise,6011,"2200 & 2210 Manufacturers Blvd., Brookhaven, MS, 39601",United States of America,1000000,1986,31.613824,-90.420204
walmart,general merchandise,6040,"1057 Sand Hill Road, Hope Mills, NC, 28348-9467",United States of America,1200000,1997,34.93288502,-78.89790908
walmart,general merchandise,6070,"220 Wal-Mart Drive, Shelby, NC, 28150",United States of America,1200000,2002,35.3071785,-81.57785797
walmart,general merchandise,6030,"42 Freetown Road, Raymond, NH, 03077-2385",United States of America,1100000,1996,43.02552536,-71.1665985
walmart,general merchandise,6038/7052,"8827 Old River Rd, Marcy, NY, 13403",United States of America,1200000,1994,43.17313766,-75.31317139
walmart,general merchandise,6024,"3880 Southwest Blvd, Grove City, OH,  43123",United States of America,1100000,1992,39.896869,-83.101959
walmart,general merchandise,6037,"2650 Highway 395 South, Hermiston, OR, 97838",United States of America,1175000,1998,45.81106447,-119.251336
walmart,general merchandise,6080/7041,"300 Veterans Dr., Tobyhanna, PA, 18466",United States of America,1119245,2002,41.16779052,-75.40476099
walmart,general merchandise,6027,"100 Wal-Mart Dr. State Rte 970, Woodland, PA, 16881",United States of America,1190000,1993,40.89651108,-77.83875275
walmart,general merchandise,6039,"1655 Pottertown Rd (1655 Bobwhite Trl), Midway (Bulls Gap), TN, 37809",United States of America,1200000,1997,36.15398788,-83.03527069
walmart,general merchandise,6016/6139,"3900 North Ih 35, New Braunfels, TX, 78130",United States of America,1204000,1988,29.73512459,-98.06399536
walmart,general merchandise,6036/7027,"14863 FM 645 (or 8660 South US Hwy 79), Palestine, TX, 75803",United States of America,1200000,1996,31.87180519,-95.65638733
walmart,general merchandise,6012,"3100 North-I 27, Plainview, TX, 79072",United States of America,1200000,1986,34.19462204,-101.7744064
walmart,general merchandise,6068,"2120 N Stemmons St., Sanger, TX, 76266",United States of America,1200000,2001,33.39661159,-97.17625022
walmart,general merchandise,7036,"3162 Brast Rd., Sealy, TX, 77474",United States of America,1200000,2005,29.74129982,-96.19430959
walmart,general merchandise,7026,"929 North State Rd. 138, Grantsville, UT, 84029",United States of America,1250000,2005,40.60549164,-112.2565079
walmart,general merchandise,7045,"6000 Walton Way, Mount Crawford, VA, 22841",United States of America,1200000,2005,38.36468887,-78.91730499
walmart,general merchandise,6023,"21504 Cox Rd, Sutherland, VA, 23885",United States of America,1200000,1991,37.19511911,-77.53369264
walmart,general merchandise,7039,"115 Distribution Way, Beaver Dam, WI, 53916",United States of America,1200000,2007,43.51396561,-88.79357147
walmart,general merchandise,6025,"6100 3M Dr, Menomonie, WI, 54751",United States of America,1170000,1993,44.89780045,-91.85990906
walmart,general merchandise,TBD,"Childs Avenue, Merced, CA",United States of America,1200000,2013,37.28826141,-120.488533
walmart,food,7019,"1005 Sara G Lott Blvd, Brundidge, AL, 36010",United States of America,890000,2003,31.72030538,-85.83729543
walmart,food,6095,"2701 Andrews Road, Opelika (Lee County), AL, 36801-9543",United States of America,880000,2000,32.76654434,-86.84028625
walmart,food,6082,"3300 Sterling Hurley Ind Highway, Clarksville, AR, 72830-1200",United States of America,850000,1993,35.43241359,-93.52949739
walmart,food,7013,"868 W Peters Rd, Casa Grande, AZ, 85122",United States of America,875100,2003,32.86489105,-111.7703171
walmart,food,7023,"6785 SW Enterprize Blvd, Arcadia, FL, 34269-6701",United States of America,940000,2005,27.04011536,-81.95446777
walmart,food,6099,"2686 Commerce Rd., MacClenny, FL, 32063",United States of America,880000,2002,30.29337311,-82.08572388
walmart,food,6071,"5600 State Rd. 544, Winter Haven, FL, 33881",United States of America,1000000,1996,28.073276,-81.676582
walmart,food,6055,"655 Unisia Dr., Monroe, GA, 30656",United States of America,880000,2000,33.80782507,-83.67588088
walmart,food,6059,"3801 US Highway 50 E, Olney, IL, 62450",United States of America,933100,1997,38.71059418,-88.12199402
walmart,food,7024,"23769 Mathew Rd, Sterling, IL, 61081",United States of America,1000000,2006,41.77968487,-89.79052886
walmart,food,7055,"100 Fischer Pkwy., Gas City, IN, 46933",United States of America,990000,2007,40.47694016,-85.5820694
walmart,food,6097,"3701 Russell Dyche Memorial Hwy, London, KY, 40741",United States of America,867000,1995,37.14321899,-84.17465973
walmart,food,6057,"45346 Parkway Blvd, Robert, LA, 70455",United States of America,850000,2001,30.51451631,-90.32036439
walmart,food,7014,"31 Alfred A Plourde Pkwy, Lewiston, ME, 04240",United States of America,892700,2005,44.06219043,-70.19020334
walmart,food,6065,"5100 Brookhart Dr., Suite 100, Harrisonville, MO, 64701",United States of America,850000,2001,38.61112976,-94.35575104
walmart,food,6072,"973 State Highway 30 W, New Albany, MS, 38652",United States of America,867000,1996,34.49154161,-89.06369448
walmart,food,7018,"3001 E. State Farm Rd., North Platte, NE, 69101",United States of America,880000,2003,41.09014995,-100.727159
walmart,food,6084,"670 Los Morros Rd NW, Los Lunas, NM, 87031",United States of America,750000,1999,34.82611465,-106.7698212
walmart,food,7048,"2155 USA Pkwy, Sparks (MacCarran), NV, 89434",United States of America,890000,2006,39.537708,-119.47602
walmart,food,6096,"300 Enterprise Rd, Johnstown, NY, 12095-3345",United States of America,868000,2000,42.98913574,-74.40527344
walmart,food,7012,"1400 Old Chillicothe Rd S, Washington Court House, OH, 43160",United States of America,880000,2002,39.52074923,-83.3952447
walmart,food,7017,"843 State Route 43, Wintersville (Steubenville), OH, 43952",United States of America,880000,2003,40.41030787,-80.73916376
walmart,food,7015,"397319 West 3000 Rd., Ochelata (Bartlesville/Ramona), OK, 74051",United States of America,893900,2005,35.58269501,-97.50861359
walmart,food,6042,"2601 South Indian Meridian Rd, Pauls Valley, OK, 73075",United States of America,860000,2000,34.70013499,-97.24772036
walmart,food,6047,"181 Walmart Road, Bedford (Cessna), PA, 15522",United States of America,830000,1998,40.09368315,-78.52418482
walmart,food,7030,"390 Highridge Park Rd., Pottsville, PA, 17901",United States of America,900000,2006,40.73660128,-76.30917236
walmart,food,6073,"160 Dove Sutton Road, Pageland, SC, 29728-1556",United States of America,830000,1997,34.80149031,-80.40986225
walmart,food,6062,"285 Frank Martin Rd, Shelbyville, TN, 37160",United States of America,850000,2001,35.56541443,-86.46109009
walmart,food,6064,"3470 Windmill Rd., Cleburne, TX, 76033",United States of America,888000,2002,32.407485,-97.426528
walmart,food,7010,"20131 Gene Campbell Rd, New Caney, TX, 77357",United States of America,901000,2003,30.16754039,-95.30000277
walmart,food,6083,"9605 MW HK Dodgen Loop, Temple, TX, 76504",United States of America,850000,1993,31.144451,-97.364006
walmart,food,6090,"5400 W. Highway 83, Corinne, UT, 84307",United States of America,875000,2000,41.55830272,-112.1441909
walmart,food,7016,"10695 Freedom Trail, Gordonsville, VA, 22942-6938",United States of America,880000,2003,37.98262405,-78.20178223
walmart,food,7021,"546 Woodall Rd., Grandview, WA, 98930",United States of America,880000,2004,46.27877045,-119.9207382
walmart,food,6085,"525 Industrial Dr, Tomah, WI, 54660",United States of America,880000,2000,43.93996015,-90.8290118
walmart,food,7077,"426 Logistics Dr, Cheyenne, WY, 82009",United States of America,890000,2007,41.1199913,-104.8998871
walmart,food,TBD,"19799 East 36th Drive, Majestic Commerce Center, Aurora, CA, 80011",United States of America,450000,2018,37.25510025,-119.6175232
walmart,food,7084,"1001 Columbia Ave., Riverside, CA, 92507",United States of America,520000,2011,34.00297165,-117.3325958
walmart,food,6074,"1729 State Road 8, Auburn (Garrett), IN, 46706",United States of America,400000,2001,41.36657439,-85.11051536
walmart,food,6077,"1309 Highway 24 East, Moberly, MO, 65270",United States of America,450000,2002,39.44658883,-92.41768956
walmart,food,6091,"680 Vanco Mill Rd., Henderson, NC, 27537",United States of America,400000,2002,36.29383586,-78.38238381
walmart,food,6056,"591 Apache Trail, Terrell, TX, 75160",United States of America,420000,2000,32.73051453,-96.3343277
walmart,food,7079,"101 Sohler Dr, Mankato, MN, 56001",United States of America,450000,2015,44.12759781,-93.97535706
walmart,food,TBD,"Kimrey Road, Hawfields (Mebane), NC, 27302",United States of America,450000,2016,36.050279,-79.328786
walmart,food,7047,"13550 Valley Blvd, Fontana, CA, 92335",United States of America,758000,2004,34.072727,-117.512977
walmart,fashion,6051/4751,"1110 S.E. 10th, Bentonville, AR, 72716",United States of America,640000,1986,36.35857773,-94.194664
walmart,fashion,6008,"2100 Southeast 5th Street, Bentonville, AR, 72712-6128",United States of America,705600,1980,36.36559677,-94.18887329
walmart,fashion,6022/7040,"333 S. 10th St., Greencastle, IN, 46135",United States of America,1515000,1991,39.64176245,-86.8317204
walmart,fashion,6041,"100 High St (721 Hwy Rte 20), Sharon Springs, NY,  13459-9510",United States of America,800000,1995,42.77457047,-74.58434296
walmart,fashion,6014/7031,"1050 Vern Cora Rd, Laurens, SC, 29360",United States of America,1630860,1988,34.54901123,-81.99890137
walmart,fashion,6005,"201 Old Elkhart Road, Palestine, TX, 75801",United States of America,893700,1981,31.74209213,-95.61906433
walmart,fashion,6029,"152 North Highway 91, Hurricane, UT, 84737",United States of America,1170000,1993,37.16911979,-113.4233236
walmart,footwear,6007,"8100 S Zero Street, Fort Smith, AR, 72903-6600",United States of America,236100,1990,35.3208,-94.344627
walmart,e-commerce,8103,"6750 Kimball Ave., Chino, CA, 91708",United States of America,1200000,2016,33.96850213,-117.6576311
walmart,e-commerce,TBD,"11188 Citrus Ave, Fontana, CA, 92337",United States of America,639500,2016,34.05055618,-117.4549789
walmart,e-commerce,TBD,"East 56th Avenue and Jackson Gap Road , Aurora, CO, 80019",United States of America,TBD,2018,38.99854279,-105.5478134
walmart,e-commerce,TBD,"4900 North Ridge Trail, Davenport, FL, 33897",United States of America,900000,2016,28.30277061,-81.5980072
walmart,e-commerce,TBD,"Intersection of U.S. Highway 27 and Waverly Barn Road , Davenport, FL, 33897",United States of America,1000000,2016,28.30014992,-81.69245148
walmart,e-commerce,7005,"3101 N. Highway 27, Carrollton, GA, 30117",United States of America,1000000,2002,33.63844681,-85.12020111
walmart,e-commerce,TBD,"6055 S Fulton Pkwy, Union City, GA, 30349",United States of America,1200000,2015,33.61582184,-84.59880829
walmart,e-commerce,6280,"9590 AllPoints Parkway, Plainfield, IN, 46123",United States of America,1200000,2015,39.74161148,-86.34844208
walmart,e-commerce,7422,"2783 Commerce Center Boulevard, Lehigh Valley Industrial Park VII, Bethlehem, PA, 18015",United States of America,1200000,2014,NA,NA
walmart,e-commerce,7356,"3215 Commerce Center Boulevard, Lehigh Valley Industrial Park VII, Bethlehem, PA, 18015",United States of America,1200000,2015,NA,NA
walmart,e-commerce,4900,"5300 Westport Parkway , Fort Worth, TX, 76177",United States of America,788160,2013,32.970066,-97.250015
walmart,e-commerce,TBD,"15101 N. Beach St., Fort Worth, TX, 76177",United States of America,1002620,2016,32.96910858,-97.28874969
walmart,export,6050,"40781 Black Diamond, Laredo, TX, 78045",United States of America,191700,1992,27.71946341,-99.71860819
walmart,optical,6028/6044,"801 Corda Blvd., Crawfordsville, IN, 47933",United States of America,31400,1993,40.05073166,-86.87097168
walmart,optical,9149,"2314 W 6th St, Fayetteville, AR, 72701-6219",United States of America,64500,1987,36.05464585,-94.19160001
walmart,optical,TBD,"9029 Directors Row, Dallas, TX, 75247",United States of America,38918,2003,32.81828308,-96.89147186
walmart,pharmacy,6001,"2252 North 8th Street, Rogers, AR, 72756",United States of America,150000,1976,36.35267639,-94.12863159
walmart,pharmacy,6045,"1201 Moberly Lane, Bentonville, AR, 72716",United States of America,40000,2001,36.35992432,-94.18238831
walmart,pharmacy,6032,"13231 11th Ave, Hanford, CA, 93230",United States of America,70900,1994,36.28092957,-119.6532898
walmart,pharmacy,6013,"4501 Wal-Mart Way, Tifton, GA, 31794",United States of America,86500,1988,31.42775215,-83.48449722
walmart,pharmacy,6046,"11121 Elliot Place, Williamsport, MD, 21795",United States of America,66300,1997,39.58707809,-77.82892609
walmart,print/photo,6058,"1108 S.E. 10TH Street, Bentonville, AR, 72712",United States of America,390000,1997,36.36022188,-94.19666201
walmart,returns,6002,"1102 SE 5th St, Bentonville, AR, 72712",United States of America,225000,1975,36.36764087,-94.19648364
walmart,returns,8098,"1901 SE 10th St, Bentonville, AR, 72712",United States of America,225000,2008,36.36025272,-94.19280633
walmart,returns,9398,"601 N Walton Blvd, Bentonville, AR, 72712",United States of America,72000,2005,36.3781929,-94.22254944
walmart,returns,9193,"6719 W. 350 North, Greenfield, IN, 46140",United States of America,456000,2016,39.83179092,-85.92910004
walmart,returns,9195,"1900 Aerojet Way, North Las Vegas NV, 89030",United States of America,106700,1996,36.23797226,-115.122139
walmart,returns,9196,"161 Enterprise Road, Johnstown, NY, 12095",United States of America,207600,1996,42.98720169,-74.39250183
walmart,returns,9194,"5795 North Blackstock Road, Spartanburg, SC, 29303",United States of America,266400,2009,35.00188065,-82.03803253
walmart,returns,9153,"2301 Corporation Parkway, Woodway (Waco), TX, 76712-6952",United States of America,220000,2004,31.49033928,-97.16565704
walmart,returns,TBD,"Rogers, AR",United States of America,TBD,2013,36.33348083,-94.12471008
walmart,returns,TBD,"Tahlequah, Oklahoma",United States of America,TBD,2013,35.91136169,-94.97267151
walmart,tire,6033,"200 Interstate South Dr & 210 Interstate South Dr, McDonough, GA, 30253",United States of America,357120,2001,33.44818497,-84.18470001
walmart,tire,6067,"4130 Port Blvd, Dallas, TX, 75241",United States of America,420000,2002,32.64923859,-96.75668335
walmart,e-commerce,7005,"3101 N. Highway 27, Carrollton, GA, 30117",United States of America,1000000,2002,33.63844681,-85.12020111
walmart,inbound-foreign,TBD,"McDonald Road, Irvington, AL",United States of America,2900000,TBD,30.5179,-88.242376
walmart,inbound-foreign,4895,"4155 Wineville Avenue, Mira Loma, CA, 91752",United States of America,448000,2000,34.01247406,-117.5441666
walmart,inbound-foreign,6060,"Building 4, 11900 Riverside drive, Mira Loma, CA, 91752",United States of America,650400,2001,34.01599884,-117.5451813
walmart,inbound-foreign,6060,"Building 5, 4250 Hamner Ave. , Mira Loma, CA, 91752",United States of America,755100,1999,34.01052475,-117.55439
walmart,inbound-foreign,6060,"Building 1, 4100 Hamner Ave., Mira Loma, CA, 91752",United States of America,901700,2000,34.01229095,-117.5544052
walmart,inbound-foreign,6061,"299 A J Riggs Rd, Statesboro, GA, 30458",United States of America,2200000,1994,32.39143834,-81.83401532
walmart,inbound-foreign,7074/7078,"26453 Center Point Dr, Elwood, IL, 60421",United States of America,3400000,2006,41.40557706,-88.13120104
walmart,inbound-foreign,7622,"4554 Oscar Nelson Jr Dr, Baytown, TX, 77520",United States of America,4200000,2005,29.71563242,-94.91143718
walmart,inbound-foreign,6088/4896,"9305 Pocahontas Trail, Williamsburg (James City), VA, 23185",United States of America,3000000,2000,37.198322,-76.59999
walmart,domestic-inbound,6901,"509 SE Martin Luther King Jr Pkwy, Bentonville, AR, 72712",United States of America,18700,1994,36.36664581,-94.18480682
walmart,domestic-inbound,6907,"280 De Berry St, Colton, CA, 92324",United States of America,125800,2006,34.02901077,-117.3322906
walmart,domestic-inbound,6909,"11888 Mission Blvd, Mira Loma, CA, 91752",United States of America,599340,2009,34.02440262,-117.5456009
walmart,domestic-inbound,6912,"600 Live Oak Ave, Irwindale, CA, 91706",United States of America,108850,2009,34.11128616,-117.9918137
walmart,domestic-inbound,7101,"1200 Mason Dixon Line, Conley, GA, 30288",United States of America,53360,2011,33.66400909,-84.34317017
walmart,domestic-inbound,6974,"6765 Imron Dr, Belvidere, IL, 61008",United States of America,177800,2011,42.25069046,-88.88376617
walmart,domestic-inbound,7100,"1340 141st Street, Hammond, IN, 46327",United States of America,150720,2011,41.63934633,-87.49666616
walmart,domestic-inbound,7976,"423 Pitts School Rd , Concord, NC, 28027",United States of America,104380,2011,35.35213575,-80.6582395
walmart,domestic-inbound,7837,"121 Powerline Road, Tannersville, PA, 18372",United States of America,103700,2012,41.36846535,-75.1516825
walmart,domestic-inbound,7840,"1980 Getwell Road, Memphis, TN, 38111",United States of America,93100,2011,35.078022,-89.92764282
walmart,domestic-inbound,6956,"5210 Catron Dr, Dallas, TX, 75227",United States of America,77000,2010,32.78852463,-96.67424774
sam's club,general merchandise,4803/6699,"3301 East Park Avenue, Searcy, AR, 72143-9027",United States of America,682700,1978,35.24054337,-91.70126343
sam's club,general merchandise,6299,"23701 West Southern Avenue, Buckeye, AZ, 85326-4928",United States of America,252000,2000,33.3880043,-112.5579224
sam's club,general merchandise,8230,"1600 Tide Court, Woodland, CA, 95776-6210",United States of America,65200,2004,38.67990494,-121.7457199
sam's club,general merchandise,6493,"1000 S. Cucamonga Ave, Ontario, CA, 91761",United States of America,60000,1993,34.0534725,-117.6320133
sam's club,general merchandise,6494,"7500 East Crossroads Blvd, Loveland, CO, 80538",United States of America,42600,1990,40.42881,-104.968482
sam's club,general merchandise,6275,"2562 Cabot Commerce Circle, Building 1, Alta Lakes Commerce Center, Jacksonville, FL, 32226",United States of America,129665,2013,NA,NA
sam's club,general merchandise,8229,"3010 Saddlecreek Rd. Bldg. 19, Lakeland, FL, 33801",United States of America,66400,1991,28.07566261,-81.8989563
sam's club,general merchandise,6499,"140 Fleet Drive, Villa Rica, GA, 30180-1090",United States of America,60000,1995,33.74566689,-84.94631186
sam's club,general merchandise,6598,"1325 Central Ave., University Park, IL, 60484",United States of America,49200,2005,41.42839126,-87.74761766
sam's club,general merchandise,8232,"488 West Muskegon Drive, Greenfield, IN, 46140-3057",United States of America,85200,1993,39.81114578,-85.7765274
sam's club,general merchandise,6496,"233 S 42nd Street, Kansas City, KS, 66106",United States of America,81080,1988,39.09302139,-94.67440796
sam's club,general merchandise,6495,"14557 Industry Dr., Hagerstown, MD, 21742",United States of America,40000,1994,39.71502766,-77.72141039
sam's club,general merchandise,6596,"18650 Dix-Toledo Rd., Brownstown Township, MI, 48193",United States of America,60000,1992,42.1497612,-83.26625061
sam's club,general merchandise,6697,"6301 W. Old Shakopee Rd., Bloomington, MN, 55438",United States of America,180300,1995,44.8064537,-93.36429596
sam's club,general merchandise,4792,"185 J M Tatum Industrial Dr , Hattiesburg, MS, 39401",United States of America,60000,2008,31.26418686,-89.26797485
sam's club,general merchandise,8206,"1911 Continental Blvd., Charlotte, NC, 28273",United States of America,63400,1991,35.1296284,-80.93153648
sam's club,general merchandise,TBD,"2837 Senator Ralph Scott Parkway, Mebane, NC, 27302",United States of America,77000,2016,36.13056183,-79.26565552
sam's club,general merchandise,6597,"40 Londonderry Turnpike, Building 3PSI, Hooksett, NH, 03106-2038",United States of America,26200,2005,43.0158446,-71.40033893
